epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,10271,1.37553,2.1526,1.14956,1.48163,0.82756,0.7935,0.8542,0.53077,0.74922,0.71839,0.75664,0.46519,1.2978,2.69645,0.7618,1.58589,0.00294239,0.00294239,0.00294239
98,10364.7,1.38769,2.17316,1.16141,1.48963,0.81501,0.80425,0.85154,0.52691,0.74623,0.72681,0.75339,0.46125,1.30254,2.71551,0.7607,1.58771,0.00284906,0.00284906,0.00284906
99,10458.2,1.39427,2.18156,1.16385,1.4982,0.81925,0.79689,0.85393,0.52941,0.7486,0.70975,0.74727,0.46048,1.30094,2.77725,0.75736,1.58788,0.00275668,0.00275668,0.00275668
100,10551.8,1.38025,2.16437,1.14669,1.47553,0.83644,0.78544,0.85396,0.52881,0.76711,0.68863,0.73873,0.45515,1.30568,2.84307,0.75709,1.5874,0.00266532,0.00266532,0.00266532
101,10645.3,1.36698,2.13395,1.13846,1.47037,0.82367,0.80109,0.85258,0.53038,0.74769,0.70259,0.74134,0.46026,1.29676,2.77808,0.75934,1.58469,0.002575,0.002575,0.002575
102,10739.1,1.37772,2.15062,1.14482,1.47997,0.83222,0.80025,0.85689,0.5308,0.75976,0.71265,0.75186,0.46237,1.30248,2.79958,0.7506,1.58708,0.00248577,0.00248577,0.00248577
103,10832.5,1.36269,2.12285,1.13149,1.47537,0.84392,0.78305,0.85701,0.52822,0.77725,0.6987,0.74918,0.46012,1.31019,2.82225,0.75664,1.59103,0.00239766,0.00239766,0.00239766
104,10926.5,1.36543,2.1348,1.13002,1.47679,0.84117,0.7864,0.85858,0.53098,0.76218,0.70835,0.75227,0.46166,1.30752,2.89811,0.75717,1.59069,0.00231071,0.00231071,0.00231071
105,11019.9,1.36263,2.14279,1.12932,1.47105,0.83965,0.78445,0.85505,0.53029,0.77544,0.7029,0.75302,0.46006,1.29948,2.88199,0.75675,1.58366,0.00222497,0.00222497,0.00222497
106,11113.8,1.35685,2.12044,1.12089,1.46735,0.84758,0.77339,0.85464,0.53072,0.77712,0.6921,0.74368,0.45651,1.30076,2.88321,0.75621,1.58927,0.00214046,0.00214046,0.00214046
107,11207.2,1.34919,2.11352,1.11012,1.46095,0.84762,0.77801,0.85597,0.53185,0.77359,0.69685,0.74416,0.45833,1.29618,2.90908,0.75293,1.58572,0.00205723,0.00205723,0.00205723
108,11301,1.34289,2.09098,1.10474,1.45942,0.82883,0.79856,0.85512,0.53114,0.76511,0.69576,0.74293,0.4573,1.29962,2.89508,0.75072,1.58485,0.00197532,0.00197532,0.00197532
109,11394.7,1.35673,2.12061,1.10942,1.46028,0.83041,0.79725,0.85595,0.532,0.76441,0.7029,0.74564,0.45884,1.29803,2.91088,0.74817,1.58659,0.00189475,0.00189475,0.00189475
110,11488.4,1.34495,2.10888,1.11149,1.45244,0.82867,0.8017,0.85782,0.5331,0.76276,0.70206,0.74109,0.45645,1.29995,2.89726,0.74799,1.58193,0.00181557,0.00181557,0.00181557
111,11581.6,1.34186,2.11304,1.09935,1.45607,0.83215,0.79472,0.85581,0.53261,0.76008,0.69796,0.73374,0.45157,1.29327,2.91648,0.74815,1.57811,0.0017378,0.0017378,0.0017378
