epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,22209.2,1.07438,1.98335,0.83875,1.3999,0.85337,0.7942,0.86981,0.54362,0.84979,0.78251,0.8616,0.50232,1.28445,1.5101,0.72293,1.59981,0.000335,0.000335,0.000335
102,22403,1.0701,1.97523,0.83009,1.39128,0.85676,0.79455,0.86881,0.54305,0.84877,0.77963,0.85419,0.50002,1.28556,1.53679,0.69734,1.59566,0.00033335,0.00033335,0.00033335
103,22596.9,1.07096,1.95881,0.82215,1.39305,0.85634,0.80309,0.87374,0.54535,0.84649,0.79935,0.86251,0.51056,1.2868,1.51696,0.70763,1.58536,0.0003317,0.0003317,0.0003317
104,22790.7,1.06688,1.97133,0.83115,1.38535,0.85987,0.79794,0.86548,0.5414,0.84906,0.78665,0.85224,0.50475,1.29807,1.55936,0.70905,1.59709,0.00033005,0.00033005,0.00033005
105,22984.6,1.05851,1.96326,0.81593,1.38243,0.85202,0.8087,0.87391,0.55368,0.83921,0.79654,0.8573,0.51023,1.26553,1.51171,0.69804,1.56869,0.0003284,0.0003284,0.0003284
106,23178.9,1.05096,1.91587,0.80961,1.37977,0.84783,0.80449,0.8707,0.55182,0.84056,0.7942,0.86074,0.50789,1.26946,1.52485,0.70143,1.58769,0.00032675,0.00032675,0.00032675
107,23372.5,1.04459,1.91582,0.80744,1.37374,0.84293,0.80122,0.86687,0.54643,0.83591,0.79373,0.85955,0.5046,1.2836,1.48536,0.70848,1.59959,0.0003251,0.0003251,0.0003251
108,23566.6,1.06587,1.94915,0.83736,1.38314,0.85733,0.79824,0.87369,0.55038,0.84678,0.78842,0.86573,0.50741,1.2825,1.48277,0.71685,1.58732,0.00032345,0.00032345,0.00032345
109,23760.3,1.05475,1.94619,0.8141,1.37918,0.85067,0.80355,0.86887,0.54869,0.84554,0.7928,0.86281,0.50604,1.27757,1.48614,0.71451,1.58362,0.0003218,0.0003218,0.0003218
110,23954.3,1.0428,1.89442,0.79929,1.36904,0.85997,0.79093,0.8719,0.54978,0.8415,0.79186,0.86147,0.51234,1.26861,1.46904,0.71677,1.57361,0.00032015,0.00032015,0.00032015
